"id","sku","name","price","stock","category_id"
"1","SKU-1","Item 1","956.60","84","8"
"2","SKU-2","Item 2","245.42","37","26"
"3","SKU-3","Item 3","604.17","96","1"
"4","SKU-4","Item 4","507.59","53","29"
"5","SKU-5","Item 5","149.75","58","11"
"6","SKU-6","Item 6","841.34","87","23"
"7","SKU-7","Item 7","223.91","81","44"
"8","SKU-8","Item 8","266.55","16","38"
"9","SKU-9","Item 9","12.05","9","19"
"10","SKU-10","Item 10","478.16","23","20"
"11","SKU-11","Item 11","596.54","66","6"
"12","SKU-12","Item 12","214.39","96","25"
"13","SKU-13","Item 13","124.10","62","30"
"14","SKU-14","Item 14","248.07","98","41"
"15","SKU-15","Item 15","707.46","28","23"
"16","SKU-16","Item 16","960.42","75","37"
"17","SKU-17","Item 17","190.04","81","43"
"18","SKU-18","Item 18","337.40","18","33"
"19","SKU-19","Item 19","895.94","18","5"
"20","SKU-20","Item 20","584.32","82","46"
"21","SKU-21","Item 21","522.46","2","37"
"22","SKU-22","Item 22","154.38","86","49"
"23","SKU-23","Item 23","702.44","85","9"
"24","SKU-24","Item 24","553.85","63","9"
"25","SKU-25","Item 25","69.48","20","47"
"26","SKU-26","Item 26","408.79","87","45"
"27","SKU-27","Item 27","676.79","85","26"
"28","SKU-28","Item 28","322.08","80","37"
"29","SKU-29","Item 29","432.66","43","13"
"30","SKU-30","Item 30","767.06","83","25"
"31","SKU-31","Item 31","503.10","46","43"
"32","SKU-32","Item 32","388.92","51","19"
"33","SKU-33","Item 33","730.10","21","1"
"34","SKU-34","Item 34","131.61","18","31"
"35","SKU-35","Item 35","126.27","56","45"
"36","SKU-36","Item 36","530.38","67","22"
"37","SKU-37","Item 37","462.87","84","3"
"38","SKU-38","Item 38","907.64","89","12"
"39","SKU-39","Item 39","904.01","65","28"
"40","SKU-40","Item 40","321.19","63","5"
"41","SKU-41","Item 41","829.94","79","9"
"42","SKU-42","Item 42","302.96","78","18"
"43","SKU-43","Item 43","877.84","10","2"
"44","SKU-44","Item 44","47.99","70","30"
"45","SKU-45","Item 45","178.69","73","32"
"46","SKU-46","Item 46","107.94","49","31"
"47","SKU-47","Item 47","154.48","90","17"
"48","SKU-48","Item 48","845.00","11","30"
"49","SKU-49","Item 49","519.73","77","23"
